size,type,threshold,time_ms
500,random,0,0.051
500,random,5,0.043
500,random,10,0.039
500,random,20,0.04
500,random,30,0.035
500,random,50,0.036
500,reversed,0,0.031
500,reversed,5,0.025
500,reversed,10,0.021
500,reversed,20,0.02
500,reversed,30,0.02
500,reversed,50,0.027
500,almost,0,0.044
500,almost,5,0.039
500,almost,10,0.076
500,almost,20,0.031
500,almost,30,0.029
500,almost,50,0.03
600,random,0,0.064
600,random,5,0.07
600,random,10,0.096
600,random,20,0.051
600,random,30,0.071
600,random,50,0.075
600,reversed,0,0.109
600,reversed,5,0.043
600,reversed,10,0.037
600,reversed,20,0.066
600,reversed,30,0.038
600,reversed,50,0.062
600,almost,0,0.053
600,almost,5,0.047
600,almost,10,0.089
600,almost,20,0.066
600,almost,30,0.074
600,almost,50,0.057
700,random,0,0.109
700,random,5,0.13
700,random,10,0.084
700,random,20,0.083
700,random,30,0.064
700,random,50,0.059
700,reversed,0,0.044
700,reversed,5,0.036
700,reversed,10,0.033
700,reversed,20,0.03
700,reversed,30,0.034
700,reversed,50,0.054
700,almost,0,0.061
700,almost,5,0.052
700,almost,10,0.052
700,almost,20,0.056
700,almost,30,0.043
700,almost,50,0.044
800,random,0,0.095
800,random,5,0.08
800,random,10,0.073
800,random,20,0.068
800,random,30,0.066
800,random,50,0.071
800,reversed,0,0.052
800,reversed,5,0.056
800,reversed,10,0.04
800,reversed,20,0.06
800,reversed,30,0.042
800,reversed,50,0.065
800,almost,0,0.069
800,almost,5,0.06
800,almost,10,0.054
800,almost,20,0.049
800,almost,30,0.047
800,almost,50,0.049
900,random,0,0.105
900,random,5,0.093
900,random,10,0.085
900,random,20,0.084
900,random,30,0.078
900,random,50,0.08
900,reversed,0,0.062
900,reversed,5,0.056
900,reversed,10,0.044
900,reversed,20,0.043
900,reversed,30,0.051
900,reversed,50,0.06
900,almost,0,0.08
900,almost,5,0.069
900,almost,10,0.061
900,almost,20,0.056
900,almost,30,0.054
900,almost,50,0.052
1000,random,0,0.12
1000,random,5,0.104
1000,random,10,0.095
1000,random,20,0.089
1000,random,30,0.088
1000,random,50,0.089
1000,reversed,0,0.074
1000,reversed,5,0.061
1000,reversed,10,0.053
1000,reversed,20,0.052
1000,reversed,30,0.046
1000,reversed,50,0.064
1000,almost,0,0.092
1000,almost,5,0.078
1000,almost,10,0.069
1000,almost,20,0.065
1000,almost,30,0.06
1000,almost,50,0.06
1100,random,0,0.132
1100,random,5,0.148
1100,random,10,0.15
1100,random,20,0.111
1100,random,30,0.099
1100,random,50,0.105
1100,reversed,0,0.078
1100,reversed,5,0.08
